¿Equipo apodado "La Máquina"?	Cruz Azul	¿Cantante apodado "El Sol de México"?	Luis Miguel	¿Jugador con más goles en Champions?	Cristiano Ronaldo	¿Año de estreno de "Avatar"?	2009	¿Mamífero que vuela?	Murciélago	¿País en conflicto por Taiwán?	China	¿Qué es el efecto placebo?	Creencia en falso tratamiento
¿Equipo con más títulos en Concachampions?	América	¿Actor de "Roma"?	Yalitza Aparicio	¿Equipo inglés con más Champions?	Liverpool	¿Película con más Óscares?	Titanic	¿Animal con la mordida más fuerte?	Cocodrilo	¿Conflicto más largo en Latinoamérica?	Colombia	¿Qué es el sesgo de confirmación?	Creer info que confirma ideas
¿Equipo apodado "Los Tuzos"?	Pachuca	¿Cantante de "Felices los 4"?	Maluma	¿Equipo con más finales de Champions?	Real Madrid	¿Película sobre sueños de Nolan?	Inception	¿Animal que construye presas?	Castor	¿País con guerra en Gaza?	Israel	¿Qué es el efecto de primacía?	Recordar mejor lo primero
¿Equipo con estadio más grande en MX?	América	¿Actor mexicano en "Frida"?	Salma Hayek	¿Equipo italiano con más Champions?	AC Milan	¿Película más vista de Pixar?	Intensamente	¿Animal más venenoso?	Medusa caja	¿Países en disputa en Cachemira?	India y Pakistán	¿Qué es el efecto de anclaje?	Basarse en primera info
¿Máximo goleador histórico de Liga MX?	Cabinho	¿Cantante de "Amor Prohibido"?	Selena	¿País con más equipos campeones de UCL?	Inglaterra	¿Película de terror más taquillera?	It (2017)	¿Animal con mejor camuflaje?	Pulpo mímico	¿Región con más golpes de estado?	África	¿Qué es el efecto de espectador?	No ayudar por presencia de otros
¿Equipo apodado "Los Rojinegros"?	Atlas	¿Cantante de "Querida"?	Juan Gabriel	¿Jugador con más Champions ganadas?	Cristiano Ronaldo	¿Película de Spielberg sobre dinosaurios?	Jurassic Park	¿Animal que duerme 20 horas al día?	Koala	¿Conflicto que dividió Corea?	Guerra de Corea	¿Qué es el efecto de halo?	Juzgar por primera impresión
¿Equipo mexicano con más Copa MX?	León	¿Cantante de "Adiós Amor"?	Christian Nodal	¿Jugador con más asistencias en UCL?	Messi	¿Película de terror de los 70?	El Exorcista	¿Animal más inteligente después del humano?	Delfín	¿País con disputa en Mar del Sur?	China	¿Qué es el sesgo de negatividad?	Recordar más lo malo
¿Máximo goleador de la Champions?	Cristiano Ronaldo	¿Actor mexicano con dos Óscar?	Anthony Quinn	¿Equipo con más Champions en Alemania?	Bayern Múnich	¿Película más vista de Disney?	El Rey León (2019)	¿Animal con extremidades regenerativas?	Axolote	¿País más afectado por ISIS?	Siria	¿Qué es la disonancia cognitiva?	Incomodidad por ideas opuestas
¿Equipo con más títulos en Libertadores?	Independiente	¿Actriz mexicana en "Cuna de Lobos"?	María Rubio	¿Equipo más dominante en Champions?	Real Madrid	¿Película con robots gigantes?	Transformers	¿Animal que usa herramientas?	Chimpancé	¿Guerra más costosa del siglo XX?	Segunda Guerra Mundial	¿Qué es el efecto spotlight?	Creer que nos observan más
¿Equipo apodado "Los Rayados"?	Monterrey	¿Cantante de "Eres"?	Café Tacvba	¿Equipo con más tripletes?	Barcelona	¿Película famosa de Pixar en 2003?	Buscando a Nemo	¿Animal con lengua más larga?	Camaleón	¿País en crisis económica severa?	Venezuela	¿Qué es el efecto Dunning-Kruger?	Ignorantes se creen expertos
¿Estadio más grande de México?	Azteca	¿Actor de "Amores Perros"?	Gael García Bernal	¿Único equipo inglés con triplete?	Manchester United	¿Película de Nolan sobre el tiempo?	Tenet	¿Animal más grande del mundo?	Ballena azul	¿Conflicto de EE.UU. en 2003?	Guerra de Irak	¿Qué es el efecto Barnum?	Creer descripciones genéricas
¿Jugador con más goles en Liga MX?	Cabinho	¿Cantante apodado "El Divo de Juárez"?	Juan Gabriel	¿Único equipo francés con Champions?	Marsella	¿Película con "El Guasón" en 2008?	The Dark Knight	¿Animal que usa veneno en caza?	Serpiente coral	¿País con conflicto en Cachemira?	India	¿Qué es la parálisis del sueño?	No moverse al despertar
¿País con más Mundiales ganados?	Brasil	¿Grupo de "Rayando el Sol"?	Maná	¿Equipo con más finales perdidas UCL?	Juventus	¿Película con dinosaurios en 1993?	Jurassic Park	¿Animal que nunca duerme?	Medusa	¿País con crisis en Sudán?	Sudán	¿Qué es la teoría del apego?	Vínculos en la infancia
¿Equipo con más títulos en España?	Real Madrid	¿Actor de "Y tu mamá también"?	Diego Luna	¿País con más equipos en Champions?	Inglaterra	¿Película famosa de los 90 de Disney?	El Rey León	¿Animal con mejor oído?	Búho	¿País en guerra con Yemen?	Arabia Saudita	¿Qué es la proyección psicológica?	Atribuir propios defectos a otros
¿Jugador con más goles en un Mundial?	Miroslav Klose	¿Cantante de "La Incondicional"?	Luis Miguel	¿Único equipo con 6 Champions seguidas?	Real Madrid	¿Película animada más taquillera?	Frozen II	¿Animal que cambia de sexo?	Pez payaso	¿País en guerra civil desde 2011?	Siria	¿Qué es el gaslighting?	Manipular para hacer dudar
¿Primer equipo en ganar Champions?	Real Madrid	¿Actor de "No Manches Frida"?	Omar Chaparro	¿Equipo con más Supercopas de Europa?	Barcelona	¿Película con "Jack y Rose"?	Titanic	¿Animal que se clona a sí mismo?	Estrella de mar	¿País en guerra con Palestina?	Israel	¿Qué es el síndrome del impostor?	Dudar del propio éxito
¿Equipo apodado "Los Zorros"?	Atlas	¿Actor de "El Infierno"?	Damián Alcázar	¿Equipo con más Europa League?	Sevilla	¿Película de terror con un payaso?	IT	¿Animal más longevo del mundo?	Tiburón de Groenlandia	¿País en guerra con Armenia?	Azerbaiyán	¿Qué es la memoria fotográfica?	Recordar imágenes con detalle
¿Jugador con más Balón de Oro?	Messi	¿Cantante de "Vivir mi vida"?	Marc Anthony	¿Equipo con más Copas del Rey?	Barcelona	¿Película animada con una princesa verde?	Shrek	¿Animal con el mejor olfato?	Elefante	¿País con conflicto en Tigray?	Etiopía	¿Qué es el efecto Zeigarnik?	Recordar tareas incompletas
¿Último campeón de la Champions?	Manchester City	¿Cantante de "Bailando"?	Enrique Iglesias	¿Equipo con más títulos en Alemania?	Bayern Múnich	¿Película con un ogro verde?	Shrek	¿Animal con más dientes?	Pez gato	¿País con guerra en el Donbás?	Ucrania	¿Qué es la sinestesia?	Mezclar sentidos (ver sonidos)
¿Cuál es el único número primo par?	2	¿Cómo se llama la galaxia donde está la Tierra?	Vía Láctea	¿Quién pintó la Capilla Sixtina?	Miguel Ángel	¿Cuál es el océano más profundo del mundo?	Pacífico	¿Cuántos lados tiene un octágono?	Ocho	¿Qué gas exhalamos al respirar?	Dióxido de carbono (CO₂)	¿Puede la vida existir en el vacío?	No en su forma actual
¿Qué elemento químico tiene el símbolo "Fe"?	Hierro	¿Cuántos corazones tiene una lombriz de tierra?	Cinco	¿Qué famoso detective fue creado por Arthur Conan Doyle?	Sherlock Holmes	¿Qué parte del ojo controla la cantidad de luz que entra?	Pupila	¿Qué instrumento se usa para medir la presión atmosférica?	Barómetro	¿Qué estrella es la más brillante en el cielo nocturno?	Sirio	¿Podría la humanidad vivir en el espacio permanentemente?	Con tecnología avanzada, sí
¿Qué tipo de energía utiliza un panel solar?	Energía solar	¿Cuántos litros de sangre tiene el cuerpo humano?	Aproximadamente 5	¿Qué emperador romano legalizó el cristianismo?	Constantino I	¿Cuál es la función principal de los glóbulos blancos?	Defender contra infecciones	¿Cuál es el idioma más hablado del mundo?	Inglés y chino mandarín	¿Cómo se llama el pigmento que da color a la piel?	Melanina	¿Puede el cerebro generar nuevas neuronas?	Sí, en algunas áreas
¿Cuál es el único planeta que gira de lado?	Urano	¿Cómo se llama el agujero en la capa de ozono?	Agujero de ozono	¿Quién escribió "Cien años de soledad"?	Gabriel García Márquez	¿Qué montaña es la más alta del mundo?	Everest	¿Cuál es el metal más pesado?	Osmio	¿Qué animal puede regenerar sus extremidades?	Estrella de mar	¿Puede existir fuego en el espacio?	No, porque no hay oxígeno
¿Qué planeta se conoce como el "Gigante Rojo"?	No aplica, pero Marte es el "Planeta Rojo"	¿Cuántos jugadores tiene un equipo de baloncesto en la cancha?	Cinco	¿Cómo se llama el ciclo del agua en la naturaleza?	Ciclo hidrológico	¿Qué gas se usa en los refrigeradores modernos?	R-134a y otros compuestos sin CFC	¿Cuál es la capital de Canadá?	Ottawa	¿Qué hueso protege el corazón?	Esternón	¿Podría la Tierra perder su atmósfera?	En millones de años, sí
¿Cómo se llama la ciencia que estudia los insectos?	Entomología	¿Qué planeta tiene el mayor sistema de anillos?	Saturno	¿Qué científico descubrió la penicilina?	Alexander Fleming	¿Cómo se llama el proceso por el cual las plantas pierden agua?	Transpiración	¿Qué mamífero pone huevos?	Ornitorrinco	¿Cómo se llama el punto más profundo del océano?	Fosa de las Marianas	¿Es posible la teletransportación?	Teóricamente, a nivel cuántico
¿Cuántas notas musicales existen en una escala diatónica?	Siete	¿Qué pez es conocido por su capacidad de inflarse?	Pez globo	¿Cuál es la moneda oficial del Reino Unido?	Libra esterlina	¿Qué gas mantiene los globos aerostáticos en el aire?	Helio o aire caliente	¿Qué significa "www" en una dirección web?	World Wide Web	¿Cuál es el planeta más pequeño del sistema solar?	Mercurio	¿Podrían existir universos paralelos?	Es una hipótesis científica
¿Quién fue el primer presidente de Estados Unidos?	George Washington	¿Cómo se llama la ciudad antigua de los mayas en México?	Chichén Itzá	¿Qué es un eclipse solar?	Cuando la Luna cubre el Sol	¿Cómo se llama la parte del cerebro que controla el equilibrio?	Cerebelo	¿Qué animal es el más rápido en tierra?	Guepardo	¿Qué color se obtiene mezclando azul y amarillo?	Verde	¿Podría existir vida en Titán, la luna de Saturno?	Es posible, pero no confirmado
¿Cuántos huesos tiene un adulto humano?	206	¿Cómo se llama el primer satélite artificial lanzado al espacio?	Sputnik 1	¿Qué animal tiene el cerebro más grande en proporción a su cuerpo?	Delfín	¿Cuál es la montaña más alta de América?	Aconcagua	¿Qué tipo de animal es una tarántula?	Arácnido	¿Cómo se llama el gas que hace que las bebidas carbonatadas tengan burbujas?	Dióxido de carbono (CO₂)	¿Podrían los humanos hibernar en el futuro?	Teóricamente sí, con avances médicos
¿Cuántos planetas hay en el sistema solar?	Ocho	¿Cómo se llama el instrumento para medir la temperatura?	Termómetro	¿Qué país tiene más medallas olímpicas en la historia?	Estados Unidos	¿Cómo se llama la capa más caliente del Sol?	Corona solar	¿Qué es más denso, el agua o el hielo?	Agua	¿Cuál es la función del páncreas en el cuerpo?	Producir insulina y enzimas digestivas	¿Es posible viajar más rápido que la luz?	No, según la física actual
